Gene_UniProt,Ensembl,Gene_description,UniProt_protein,MIM_Number,Gene_HGNC,Entrez Gene ID,Main_location,Additional_location,Extracellular_location,GO_id
AFF4,ENSG00000072364,ALF transcription elongation factor 4,Q9UHB7,604417.0,AFF4,27125.0,Nucleoplasm,Nuclear bodies;Nucleoli fibrillar center,,Nuclear bodies (GO:0016604);Nucleoli fibrillar center (GO:0001650);Nucleoplasm (GO:0005654)
UBE2D1,ENSG00000072401,Ubiquitin conjugating enzyme E2 D1,P51668,602961.0,UBE2D1,7321.0,Cytosol;Plasma membrane,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
PALS1,ENSG00000072415,"Protein associated with LIN7 1, MAGUK p55 family member",Q8N3R9,606958.0,PALS1,64398.0,Nucleoplasm;Plasma membrane,Cell Junctions;Cytosol,,Cell Junctions (GO:0030054);Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
RHOBTB1,ENSG00000072422,Rho related BTB domain containing 1,O94844,607351.0,RHOBTB1,9886.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
SMC1A,ENSG00000072501,Structural maintenance of chromosomes 1A,Q14683,300040.0,SMC1A,8243.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
HSD17B10,ENSG00000072506,Hydroxysteroid 17-beta dehydrogenase 10,Q99714,300256.0,HSD17B10,3028.0,,,,
MARK2,ENSG00000072518,Microtubule affinity regulating kinase 2,Q7KZI7,600526.0,MARK2,2011.0,Plasma membrane,Nucleoplasm,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
HMMR,ENSG00000072571,Hyaluronan mediated motility receptor,O75330,600936.0,HMMR,3161.0,Microtubules,Centrosome;Cytosol,,Centrosome (GO:0005813);Cytosol (GO:0005829);Microtubules (GO:0015630)
CHFR,ENSG00000072609,Checkpoint with forkhead and ring finger domains,Q96EP1,605209.0,CHFR,55743.0,Microtubules;Nuclear bodies,,,Microtubules (GO:0015630);Nuclear bodies (GO:0016604)
TRHDE,ENSG00000072657,Thyrotropin releasing hormone degrading enzyme,Q9UKU6,606950.0,TRHDE,29953.0,,,,
P4HA2,ENSG00000072682,Prolyl 4-hydroxylase subunit alpha 2,O15460,600608.0,P4HA2,8974.0,Endoplasmic reticulum;Vesicles,,,Endoplasmic reticulum (GO:0005783);Vesicles (GO:0043231)
FCGR2B,ENSG00000072694,Fc gamma receptor IIb,P31994,604590.0,FCGR2B,2213.0,,,,
NFATC3,ENSG00000072736,Nuclear factor of activated T cells 3,Q12968,602698.0,NFATC3,4775.0,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
TRNT1,ENSG00000072756,TRNA nucleotidyl transferase 1,Q96Q11,612907.0,TRNT1,51095.0,Mitochondria,,,Mitochondria (GO:0005739)
ACADVL,ENSG00000072778,Acyl-CoA dehydrogenase very long chain,P49748,609575.0,ACADVL,37.0,Mitochondria,Nucleoli;Nucleoplasm,,Mitochondria (GO:0005739);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
STK10,ENSG00000072786,Serine/threonine kinase 10,O94804,603919.0,STK10,6793.0,Plasma membrane,Nuclear bodies;Nucleoplasm,,Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
FBXW11,ENSG00000072803,F-box and WD repeat domain containing 11,Q9UKB1,605651.0,FBXW11,23291.0,Plasma membrane;Vesicles,Nucleoplasm,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886);Vesicles (GO:0043231)
ACAP1,ENSG00000072818,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",Q15027,607763.0,ACAP1,9744.0,Golgi apparatus,,,Golgi apparatus (GO:0005794)
CRMP1,ENSG00000072832,Collapsin response mediator protein 1,Q14194,602462.0,CRMP1,1400.0,Centrosome,Cytosol,,Centrosome (GO:0005813);Cytosol (GO:0005829)
EVC,ENSG00000072840,EvC ciliary complex subunit 1,P57679,604831.0,EVC,2121.0,Basal body;Nucleoplasm,Cytosol;Primary cilium transition zone,,Basal body (GO:0036064);Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Primary cilium transition zone ()
DERL2,ENSG00000072849,Derlin 2,Q9GZP9,610304.0,DERL2,51009.0,Endoplasmic reticulum,,,Endoplasmic reticulum (GO:0005783)
SIDT1,ENSG00000072858,SID1 transmembrane family member 1,Q9NXL6,606816.0,SIDT1,54847.0,,,,
NDE1,ENSG00000072864,NudE neurodevelopment protein 1,Q9NXR1,609449.0,NDE1,54820.0,,,,
IRAG1,ENSG00000072952,"Inositol 1,4,5-triphosphate receptor associated 1",Q9Y6F6,604673.0,IRAG1,10335.0,Cytosol,Nuclear bodies,,Cytosol (GO:0005829);Nuclear bodies (GO:0016604)
TMEM38A,ENSG00000072954,Transmembrane protein 38A,Q9H6F2,611235.0,TMEM38A,79041.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
AP1M1,ENSG00000072958,Adaptor related protein complex 1 subunit mu 1,Q9BXS5,603535.0,AP1M1,8907.0,Cytosol;Vesicles,,,Cytosol (GO:0005829);Vesicles (GO:0043231)
PVR,ENSG00000073008,PVR cell adhesion molecule,P15151,173850.0,PVR,5817.0,Nucleoplasm;Plasma membrane;Vesicles,,Predicted to be secreted,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886);Vesicles (GO:0043231)
XRCC1,ENSG00000073050,X-ray repair cross complementing 1,P18887,194360.0,XRCC1,7515.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
SCARB1,ENSG00000073060,Scavenger receptor class B member 1,Q8WTV0,601040.0,SCARB1,949.0,Vesicles,Lysosomes;Rods & Rings,,Lysosomes (GO:0005764);Rods & Rings ();Vesicles (GO:0043231)
CYP2W1,ENSG00000073067,Cytochrome P450 family 2 subfamily W member 1,Q8TAV3,615967.0,CYP2W1,54905.0,,,,
MCM2,ENSG00000073111,Minichromosome maintenance complex component 2,P49736,116945.0,MCM2,4171.0,Nucleoplasm,Cytosol;Primary cilium;Vesicles,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Primary cilium (GO:0005929);Vesicles (GO:0043231)
MOV10L1,ENSG00000073146,Mov10 like RISC complex RNA helicase 1,Q9BXT6,605794.0,MOV10L1,54456.0,,,,
PANX2,ENSG00000073150,Pannexin 2,Q96RD6,608421.0,PANX2,56666.0,Plasma membrane,,,Plasma membrane (GO:0005886)
SELENOO,ENSG00000073169,Selenoprotein O,Q9BVL4,607917.0,SELENOO,83642.0,Mitochondria,Mitotic chromosome,,Mitochondria (GO:0005739);Mitotic chromosome (GO:0005694)
TP63,ENSG00000073282,Tumor protein p63,Q9H3D4,603273.0,TP63,8626.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
ALPK1,ENSG00000073331,Alpha kinase 1,Q96QP1,607347.0,ALPK1,80216.0,Basal body;Centrosome,,,Basal body (GO:0036064);Centrosome (GO:0005813)
LLGL2,ENSG00000073350,LLGL scribble cell polarity complex component 2,Q6P1M3,618483.0,LLGL2,3993.0,Cytosol,Vesicles,,Cytosol (GO:0005829);Vesicles (GO:0043231)
PDE8A,ENSG00000073417,Phosphodiesterase 8A,O60658,602972.0,PDE8A,5151.0,Golgi apparatus,,,Golgi apparatus (GO:0005794)
CLCN4,ENSG00000073464,Chloride voltage-gated channel 4,P51793,302910.0,CLCN4,1183.0,Vesicles,,,Vesicles (GO:0043231)
NLE1,ENSG00000073536,Notchless homolog 1,Q9NVX2,620924.0,NLE1,54475.0,Nucleoli,Nucleoplasm,,Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
SDHA,ENSG00000073578,Succinate dehydrogenase complex flavoprotein subunit A,P31040,600857.0,SDHA,6389.0,Mitochondria,Nucleoli,,Mitochondria (GO:0005739);Nucleoli (GO:0005730)
SMARCE1,ENSG00000073584,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",Q969G3,603111.0,SMARCE1,6605.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
FNDC8,ENSG00000073598,Fibronectin type III domain containing 8,Q8TC99,,FNDC8,54752.0,Cytosol,,,Cytosol (GO:0005829)
GSDMB,ENSG00000073605,Gasdermin B,Q8TAX9,611221.0,GSDMB,55876.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
KDM5A,ENSG00000073614,Lysine demethylase 5A,P29375,180202.0,KDM5A,5927.0,Nuclear bodies,Cytosol,,Cytosol (GO:0005829);Nuclear bodies (GO:0016604)
ADAM11,ENSG00000073670,ADAM metallopeptidase domain 11,O75078,155120.0,ADAM11,4185.0,,,,
PPP2R3A,ENSG00000073711,Protein phosphatase 2 regulatory subunit B''alpha,Q06190,604944.0,PPP2R3A,5523.0,Golgi apparatus,Flagellar centriole;Mid piece,,Flagellar centriole ();Golgi apparatus (GO:0005794);Mid piece ()
FERMT2,ENSG00000073712,FERM domain containing kindlin 2,Q96AC1,607746.0,FERMT2,10979.0,Focal adhesion sites,Cytosol;Nucleoplasm,,Cytosol (GO:0005829);Focal adhesion sites (GO:0005925);Nucleoplasm (GO:0005654)
ABCB11,ENSG00000073734,ATP binding cassette subfamily B member 11,O95342,603201.0,ABCB11,8647.0,Cytosol;Nucleoplasm;Plasma membrane,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
DHRS9,ENSG00000073737,Dehydrogenase/reductase 9,Q9BPW9,612131.0,DHRS9,10170.0,,,,
CD5L,ENSG00000073754,CD5 molecule like,O43866,602592.0,CD5L,922.0,,,,
PTGS2,ENSG00000073756,Prostaglandin-endoperoxide synthase 2,P35354,600262.0,PTGS2,5743.0,Vesicles,Cytosol,,Cytosol (GO:0005829);Vesicles (GO:0043231)
IGF2BP2,ENSG00000073792,Insulin like growth factor 2 mRNA binding protein 2,Q9Y6M1,608289.0,IGF2BP2,10644.0,Cytosol,,,Cytosol (GO:0005829)
MAP3K13,ENSG00000073803,Mitogen-activated protein kinase kinase kinase 13,O43283,604915.0,MAP3K13,9175.0,Centriolar satellite,Cytosol;Nucleoplasm,,Centriolar satellite (GO:0034451);Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ST6GAL1,ENSG00000073849,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1",P15907,109675.0,ST6GAL1,6480.0,,,,
TBX21,ENSG00000073861,T-box transcription factor 21,Q9UL17,604895.0,TBX21,30009.0,,,,
FRY,ENSG00000073910,FRY microtubule binding protein,Q5TBA9,614818.0,FRY,10129.0,,,,
PICALM,ENSG00000073921,Phosphatidylinositol binding clathrin assembly protein,Q13492,603025.0,PICALM,8301.0,Vesicles,,,Vesicles (GO:0043231)
NSF,ENSG00000073969,"N-ethylmaleimide sensitive factor, vesicle fusing ATPase",P46459,601633.0,NSF,4905.0,Cytosol;Golgi apparatus,Acrosome;End piece;Equatorial segment;Mid piece;Principal piece,,Acrosome ();Cytosol (GO:0005829);End piece ();Equatorial segment ();Golgi apparatus (GO:0005794);Mid piece ();Principal piece ()
GLI2,ENSG00000074047,GLI family zinc finger 2,P10070,165230.0,GLI2,2736.0,Nucleoli;Nucleoplasm,Basal body;Centrosome,,Basal body (GO:0036064);Centrosome (GO:0005813);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
CLASP1,ENSG00000074054,Cytoplasmic linker associated protein 1,Q7Z460,605852.0,CLASP1,23332.0,,,,
MRPS34,ENSG00000074071,Mitochondrial ribosomal protein S34,P82930,611994.0,MRPS34,65993.0,Mitochondria,,,Mitochondria (GO:0005739)
NOTCH3,ENSG00000074181,Notch receptor 3,Q9UM47,600276.0,NOTCH3,4854.0,Nucleoplasm;Plasma membrane,,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
CLNS1A,ENSG00000074201,Chloride nucleotide-sensitive channel 1A,P54105,602158.0,CLNS1A,1207.0,Cytosol;Nucleoplasm,Connecting piece;Microtubules;Mid piece;Primary cilium;Principal piece,,Connecting piece ();Cytosol (GO:0005829);Microtubules (GO:0015630);Mid piece ();Nucleoplasm (GO:0005654);Primary cilium (GO:0005929);Principal piece ()
PPP2R2C,ENSG00000074211,Protein phosphatase 2 regulatory subunit Bgamma,Q9Y2T4,605997.0,PPP2R2C,5522.0,Cytosol,,,Cytosol (GO:0005829)
TEAD2,ENSG00000074219,TEA domain transcription factor 2,Q15562,601729.0,TEAD2,8463.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
EED,ENSG00000074266,Embryonic ectoderm development,O75530,605984.0,EED,8726.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
CDHR2,ENSG00000074276,Cadherin related family member 2,Q9BYE9,619713.0,CDHR2,54825.0,,,,
SNCB,ENSG00000074317,Synuclein beta,Q16143,602569.0,SNCB,6620.0,,,,
TSG101,ENSG00000074319,Tumor susceptibility 101,Q99816,601387.0,TSG101,7251.0,Cytosol,Nucleoli;Plasma membrane,,Cytosol (GO:0005829);Nucleoli (GO:0005730);Plasma membrane (GO:0005886)
NCBP3,ENSG00000074356,Nuclear cap binding subunit 3,Q53F19,616624.0,NCBP3,55421.0,Nuclear speckles,,,Nuclear speckles (GO:0016607)
ATP2A3,ENSG00000074370,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3,Q93084,601929.0,ATP2A3,489.0,,,,
CA12,ENSG00000074410,Carbonic anhydrase 12,O43570,603263.0,CA12,771.0,,,,
MGLL,ENSG00000074416,Monoglyceride lipase,Q99685,609699.0,MGLL,11343.0,Vesicles,,,Vesicles (GO:0043231)
NTN4,ENSG00000074527,Netrin 4,Q9HB63,610401.0,NTN4,59277.0,,,,
BCS1L,ENSG00000074582,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone",Q9Y276,603647.0,BCS1L,617.0,Vesicles,Mid piece,,Mid piece ();Vesicles (GO:0043231)
NUAK1,ENSG00000074590,NUAK family kinase 1,O60285,608130.0,NUAK1,9891.0,Nucleoli fibrillar center,Microtubules;Nucleoplasm,,Microtubules (GO:0015630);Nucleoli fibrillar center (GO:0001650);Nucleoplasm (GO:0005654)
DPP8,ENSG00000074603,Dipeptidyl peptidase 8,Q6V1X1,606819.0,DPP8,54878.0,Cytosol,,,Cytosol (GO:0005829)
SLC24A1,ENSG00000074621,Solute carrier family 24 member 1,O60721,603617.0,SLC24A1,9187.0,,,,
ZNF532,ENSG00000074657,Zinc finger protein 532,Q9HCE3,619066.0,ZNF532,55205.0,Nucleoplasm,Golgi apparatus,,Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
SCARF1,ENSG00000074660,Scavenger receptor class F member 1,Q14162,607873.0,SCARF1,8578.0,Golgi apparatus,,,Golgi apparatus (GO:0005794)
LMAN1,ENSG00000074695,"Lectin, mannose binding 1",P49257,601567.0,LMAN1,3998.0,Vesicles,Endoplasmic reticulum,,Endoplasmic reticulum (GO:0005783);Vesicles (GO:0043231)
HACD3,ENSG00000074696,3-hydroxyacyl-CoA dehydratase 3,Q9P035,615940.0,HACD3,51495.0,Endoplasmic reticulum,,,Endoplasmic reticulum (GO:0005783)
IPCEF1,ENSG00000074706,Interaction protein for cytohesin exchange factors 1,Q8WWN9,619948.0,IPCEF1,26034.0,Nuclear speckles;Plasma membrane,Cytoplasmic bodies;Nucleoli,,Cytoplasmic bodies (GO:0036464);Nuclear speckles (GO:0016607);Nucleoli (GO:0005730);Plasma membrane (GO:0005886)
ZZEF1,ENSG00000074755,Zinc finger ZZ-type and EF-hand domain containing 1,O43149,619459.0,ZZEF1,23140.0,Nucleoplasm,Mitochondria,,Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
NOX3,ENSG00000074771,NADPH oxidase 3,Q9HBY0,607105.0,NOX3,50508.0,Vesicles,,,Vesicles (GO:0043231)
ENO1,ENSG00000074800,Enolase 1,P06733,172430.0,ENO1,2023.0,Cytosol;Plasma membrane,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
SLC12A1,ENSG00000074803,Solute carrier family 12 member 1,Q13621,600839.0,SLC12A1,6557.0,Vesicles,Nucleoplasm,,Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
MYDGF,ENSG00000074842,Myeloid derived growth factor,Q969H8,606746.0,MYDGF,56005.0,,,,
ANO8,ENSG00000074855,Anoctamin 8,Q9HCE9,610216.0,ANO8,57719.0,,,,
TUBE1,ENSG00000074935,Tubulin epsilon 1,Q9UJT0,607345.0,TUBE1,51175.0,,,,
ARHGEF10L,ENSG00000074964,Rho guanine nucleotide exchange factor 10 like,Q9HCE6,612494.0,ARHGEF10L,55160.0,Cytosol;Golgi apparatus;Vesicles,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Vesicles (GO:0043231)
TXK,ENSG00000074966,TXK tyrosine kinase,P42681,600058.0,TXK,7294.0,Cytosol;Nucleoplasm,Nucleoli;Plasma membrane,,Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
WSCD2,ENSG00000075035,WSC domain containing 2,Q2TBF2,619253.0,WSCD2,9671.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
KCNQ2,ENSG00000075043,Potassium voltage-gated channel subfamily Q member 2,O43526,602235.0,KCNQ2,3785.0,Endoplasmic reticulum,,,Endoplasmic reticulum (GO:0005783)
TACR2,ENSG00000075073,Tachykinin receptor 2,P21452,162321.0,TACR2,6865.0,Plasma membrane,,,Plasma membrane (GO:0005886)
ACTR6,ENSG00000075089,Actin related protein 6,Q9GZN1,619729.0,ACTR6,64431.0,Cytosol;Plasma membrane,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
TIPIN,ENSG00000075131,TIMELESS interacting protein,Q9BVW5,610716.0,TIPIN,54962.0,,,,
SRI,ENSG00000075142,Sorcin,P30626,182520.0,SRI,6717.0,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
EIF4G3,ENSG00000075151,Eukaryotic translation initiation factor 4 gamma 3,O43432,603929.0,EIF4G3,8672.0,Cytosol,,,Cytosol (GO:0005829)
NUP37,ENSG00000075188,Nucleoporin 37,Q8NFH4,609264.0,NUP37,79023.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
SEMA3A,ENSG00000075213,Semaphorin 3A,Q14563,603961.0,SEMA3A,10371.0,Vesicles,,Predicted to be secreted,Vesicles (GO:0043231)
GTSE1,ENSG00000075218,G2 and S-phase expressed 1,Q9NYZ3,607477.0,GTSE1,51512.0,Centrosome,Plasma membrane,,Centrosome (GO:0005813);Plasma membrane (GO:0005886)
SEMA3C,ENSG00000075223,Semaphorin 3C,Q99985,602645.0,SEMA3C,10512.0,Cytosol;Golgi apparatus,Plasma membrane,Predicted to be secreted,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886)
TTC38,ENSG00000075234,Tetratricopeptide repeat domain 38,Q5R3I4,,TTC38,55020.0,Cytosol,,,Cytosol (GO:0005829)
ACAT1,ENSG00000075239,Acetyl-CoA acetyltransferase 1,P24752,607809.0,ACAT1,38.0,Mitochondria,,,Mitochondria (GO:0005739)
GRAMD4,ENSG00000075240,GRAM domain containing 4,Q6IC98,613691.0,GRAMD4,23151.0,,,,
CELSR1,ENSG00000075275,Cadherin EGF LAG seven-pass G-type receptor 1,Q9NYQ6,604523.0,CELSR1,9620.0,Plasma membrane,Nucleoplasm,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
WNT8B,ENSG00000075290,Wnt family member 8B,Q93098,601396.0,WNT8B,7479.0,,,,
ZNF638,ENSG00000075292,Zinc finger protein 638,Q14966,614349.0,ZNF638,27332.0,Nucleoplasm,Vesicles,,Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
SLC25A40,ENSG00000075303,Solute carrier family 25 member 40,Q8TBP6,610821.0,SLC25A40,55972.0,,,,
TIMM21,ENSG00000075336,Translocase of inner mitochondrial membrane 21,Q9BVV7,615180.0,TIMM21,29090.0,,,,
ADD2,ENSG00000075340,Adducin 2,P35612,102681.0,ADD2,119.0,Cytosol;Nucleoplasm,Plasma membrane,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
FGF4,ENSG00000075388,Fibroblast growth factor 4,P08620,164980.0,FGF4,2249.0,,,,
RASAL2,ENSG00000075391,RAS protein activator like 2,Q9UJF2,606136.0,RASAL2,9462.0,Focal adhesion sites;Plasma membrane,,,Focal adhesion sites (GO:0005925);Plasma membrane (GO:0005886)
VPS9D1,ENSG00000075399,VPS9 domain containing 1,Q9Y2B5,619292.0,VPS9D1,9605.0,Cytosol,Nucleoplasm,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ZNF37A,ENSG00000075407,Zinc finger protein 37A,P17032,616085.0,ZNF37A,7587.0,Vesicles,,,Vesicles (GO:0043231)
MARK3,ENSG00000075413,Microtubule affinity regulating kinase 3,P27448,602678.0,MARK3,4140.0,,,,
SLC25A3,ENSG00000075415,Solute carrier family 25 member 3,Q00325,600370.0,SLC25A3,5250.0,Mitochondria,,,Mitochondria (GO:0005739)
FNDC3B,ENSG00000075420,Fibronectin type III domain containing 3B,Q53EP0,611909.0,FNDC3B,64778.0,Endoplasmic reticulum,,,Endoplasmic reticulum (GO:0005783)
FOSL2,ENSG00000075426,"FOS like 2, AP-1 transcription factor subunit",P15408,601575.0,FOSL2,2355.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
CACNG5,ENSG00000075429,Calcium voltage-gated channel auxiliary subunit gamma 5,Q9UF02,606405.0,CACNG5,27091.0,,,,
CACNG4,ENSG00000075461,Calcium voltage-gated channel auxiliary subunit gamma 4,Q9UBN1,606404.0,CACNG4,27092.0,Vesicles,,,Vesicles (GO:0043231)
FRYL,ENSG00000075539,FRY like transcription coactivator,O94915,620798.0,FRYL,285527.0,Cytosol,Cytokinetic bridge;Microtubules,,Cytokinetic bridge (GO:0045171);Cytosol (GO:0005829);Microtubules (GO:0015630)
TMEM131,ENSG00000075568,Transmembrane protein 131,Q92545,615659.0,TMEM131,23505.0,Intermediate filaments;Vesicles,,,Intermediate filaments (GO:0045111);Vesicles (GO:0043231)
FSCN1,ENSG00000075618,Fascin actin-bundling protein 1,Q16658,602689.0,FSCN1,6624.0,Cytosol;Plasma membrane,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ACTB,ENSG00000075624,Actin beta,P60709,102630.0,ACTB,60.0,,,,
MOCOS,ENSG00000075643,Molybdenum cofactor sulfurase,Q96EN8,613274.0,MOCOS,55034.0,Mitochondria,Cytosol,,Cytosol (GO:0005829);Mitochondria (GO:0005739)
PLD1,ENSG00000075651,Phospholipase D1,Q13393,602382.0,PLD1,5337.0,Plasma membrane,Golgi apparatus;Vesicles,,Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886);Vesicles (GO:0043231)
ATP12A,ENSG00000075673,ATPase H+/K+ transporting non-gastric alpha2 subunit,P54707,182360.0,ATP12A,479.0,Actin filaments;Plasma membrane,Cytosol,,Actin filaments (GO:0015629);Cytosol (GO:0005829);Plasma membrane (GO:0005886)
WDR62,ENSG00000075702,WD repeat domain 62,O43379,613583.0,WDR62,284403.0,Cytosol,Centriolar satellite,,Centriolar satellite (GO:0034451);Cytosol (GO:0005829)
DLG1,ENSG00000075711,Discs large MAGUK scaffold protein 1,Q12959,601014.0,DLG1,1739.0,Vesicles,Basal body;Plasma membrane,,Basal body (GO:0036064);Plasma membrane (GO:0005886);Vesicles (GO:0043231)
RAB7A,ENSG00000075785,"RAB7A, member RAS oncogene family",P51149,602298.0,RAB7A,7879.0,Lysosomes;Primary cilium transition zone,,,Lysosomes (GO:0005764);Primary cilium transition zone ()
BCAP29,ENSG00000075790,B cell receptor associated protein 29,Q9UHQ4,619612.0,BCAP29,55973.0,Cytosol,,,Cytosol (GO:0005829)
SEC31B,ENSG00000075826,"SEC31 homolog B, COPII coat complex component",Q9NQW1,610258.0,SEC31B,25956.0,Cytosol;Nucleoplasm;Vesicles,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
SART3,ENSG00000075856,"Spliceosome associated factor 3, U4/U6 recycling protein",Q15020,611684.0,SART3,9733.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
ARHGAP15,ENSG00000075884,Rho GTPase activating protein 15,Q53QZ3,610578.0,ARHGAP15,55843.0,Plasma membrane,,,Plasma membrane (GO:0005886)
TUBA3D,ENSG00000075886,Tubulin alpha 3d,P0DPH8,617878.0,TUBA3D,113457.0,Microtubules,Primary cilium,,Microtubules (GO:0015630);Primary cilium (GO:0005929)
PAX2,ENSG00000075891,Paired box 2,Q02962,167409.0,PAX2,5076.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
EXOSC7,ENSG00000075914,Exosome component 7,Q15024,606488.0,EXOSC7,23016.0,Nuclear speckles,,,Nuclear speckles (GO:0016607)
KIFAP3,ENSG00000075945,Kinesin associated protein 3,Q92845,601836.0,KIFAP3,22920.0,Basal body;Microtubules,Nucleoplasm,,Basal body (GO:0036064);Microtubules (GO:0015630);Nucleoplasm (GO:0005654)
MKRN2,ENSG00000075975,Makorin ring finger protein 2,Q9H000,608426.0,MKRN2,23609.0,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
MCM6,ENSG00000076003,Minichromosome maintenance complex component 6,Q14566,601806.0,MCM6,4175.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
REXO2,ENSG00000076043,RNA exonuclease 2,Q9Y3B8,607149.0,REXO2,25996.0,Mitochondria,Focal adhesion sites;Nucleoli,,Focal adhesion sites (GO:0005925);Mitochondria (GO:0005739);Nucleoli (GO:0005730)
RBM7,ENSG00000076053,RNA binding motif protein 7,Q9Y580,612413.0,RBM7,10179.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
RBMS2,ENSG00000076067,RNA binding motif single stranded interacting protein 2,Q15434,602387.0,RBMS2,5939.0,Nucleoli fibrillar center,Cytosol;Nucleoplasm,,Cytosol (GO:0005829);Nucleoli fibrillar center (GO:0001650);Nucleoplasm (GO:0005654)
BAZ2A,ENSG00000076108,Bromodomain adjacent to zinc finger domain 2A,Q9UIF9,605682.0,BAZ2A,11176.0,Nuclear speckles,,,Nuclear speckles (GO:0016607)
PTPN23,ENSG00000076201,Protein tyrosine phosphatase non-receptor type 23,Q9H3S7,606584.0,PTPN23,25930.0,Basal body;Nuclear bodies;Nucleoplasm,Calyx;Centriolar satellite;Cytosol;Mid piece;Vesicles,,Basal body (GO:0036064);Calyx ();Centriolar satellite (GO:0034451);Cytosol (GO:0005829);Mid piece ();Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
